"Region","Year","total"
"Africa",1996,5171
"Africa",1997,4951
"Africa",1998,6677
"Africa",1999,8891
"Africa",2000,9097
"Africa",2001,8274
"Africa",2002,7752
"Africa",2003,6262
"Africa",2004,6200
"Africa",2005,4950
"Asia",1996,6747
"Asia",1997,10777
"Asia",1998,6487
"Asia",1999,9686
"Asia",2000,12146
"Asia",2001,15176
"Asia",2002,15367
"Asia",2003,10375
"Asia",2004,7932
"Asia",2005,8251
"Europe",1996,5496
"Europe",1997,3579
"Europe",1998,3906
"Europe",1999,4306
"Europe",2000,5328
"Europe",2001,5737
"Europe",2002,4696
"Europe",2003,4158
"Europe",2004,3657
"Europe",2005,3151
"North America",1996,4914
"North America",1997,2767
"North America",1998,2495
"North America",1999,2048
"North America",2000,2086
"North America",2001,2433
"North America",2002,2096
"North America",2003,2415
"North America",2004,3152
"North America",2005,3958
"Oceania",1996,87
"Oceania",1997,35
"Oceania",1998,29
"Oceania",1999,59
"Oceania",2000,146
"Oceania",2001,456
"Oceania",2002,267
"Oceania",2003,156
"Oceania",2004,155
"Oceania",2005,60
"South America",1996,904
"South America",1997,563
"South America",1998,623
"South America",1999,1117
"South America",2000,3158
"South America",2001,6435
"South America",2002,6325
"South America",2003,5226
"South America",2004,6011
"South America",2005,4778
"Unknown",1996,183
"Unknown",1997,95
"Unknown",1998,95
"Unknown",1999,106
"Unknown",2000,87
"Unknown",2001,130
"Unknown",2002,129
"Unknown",2003,92
"Unknown",2004,115
"Unknown",2005,109
"Africa",2006,4942
"Africa",2007,5089
"Africa",2008,4732
"Africa",2009,5178
"Africa",2010,4578
"Africa",2011,5395
"Africa",2012,7172
"Africa",2013,6836
"Africa",2014,6000
"Africa",2015,5104
"Asia",2006,10008
"Asia",2007,11153
"Asia",2008,10355
"Asia",2009,10979
"Asia",2010,10293
"Asia",2011,12322
"Asia",2012,14776
"Asia",2013,13665
"Asia",2014,12874
"Asia",2015,11455
"Europe",2006,1994
"Europe",2007,1990
"Europe",2008,1932
"Europe",2009,1740
"Europe",2010,1475
"Europe",2011,1825
"Europe",2012,2036
"Europe",2013,1650
"Europe",2014,1225
"Europe",2015,1267
"North America",2006,4607
"North America",2007,3314
"North America",2008,2836
"North America",2009,2339
"North America",2010,1910
"North America",2011,2078
"North America",2012,2281
"North America",2013,1824
"North America",2014,2339
"North America",2015,7110
"Oceania",2006,63
"Oceania",2007,52
"Oceania",2008,59
"Oceania",2009,50
"Oceania",2010,24
"Oceania",2011,42
"Oceania",2012,40
"Oceania",2013,19
"Oceania",2014,28
"Oceania",2015,12
"South America",2006,4610
"South America",2007,3572
"South America",2008,2949
"South America",2009,1775
"South America",2010,1321
"South America",2011,1733
"South America",2012,1692
"South America",2013,1062
"South America",2014,833
"South America",2015,1081
"Unknown",2006,128
"Unknown",2007,137
"Unknown",2008,158
"Unknown",2009,219
"Unknown",2010,145
"Unknown",2011,162
"Unknown",2012,149
"Unknown",2013,95
"Unknown",2014,75
"Unknown",2015,95
